,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
IVA - CALABARZON,EQ,250,66066.5447275438,106424.90875842916,149013.61546035777,215606.92754282407,465754.1500123145,7596.13427419024,9853.714556626948,12954.927225099265,18601.671494544116,39910.79831193617,4504.557604022597,11544.657938982133,19345.11549652182,28604.80297379238,63313.86656084671,67576.25308230997,11119.213828128997,6217.954703993154,4114.324776220205,2785.6569207919615,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,250,66066.5447275438,106424.90875842918,149013.6154603578,215606.92754282407,465754.1500123145,1644.0202268527628,2121.2837766980347,2820.4553759718306,3965.2280630429923,8368.119333824958,1176.4507936477758,3097.8984593238097,5141.471228444844,7550.055504755964,16702.843007611442,13134.379177431352,1627.0905906749388,944.2865792744407,581.8226162133595,372.0722817038539,0,0,0,0,0,0,0,0,0,0
NCR,EQ,500,83304.77441565192,129722.78009492437,180967.13210294937,260829.68070804793,581064.7892494723,12777.651058526471,18062.464273406287,25191.06911314474,34077.53120045386,74839.68789738741,11321.050272263583,24315.227103523437,36000.78595003458,52231.95496343785,118763.11133835239,51261.60732545342,9246.966790742976,7788.3111168010855,3031.529589785739,1633.0777004620797,0,0,0,0,0,0,0,0,0,0
NCR,PF,500,83304.77441565189,129722.78009492437,180967.13210294934,260829.680708048,581064.7892494723,2623.5023608867923,3786.369419064907,5388.755046098233,7124.265184332832,15499.371814880114,2917.038103235709,6300.12303051619,9236.614740331692,13382.54841070935,30433.525432904415,9202.141352580435,1290.7745318658344,1104.1291725584372,471.5552640968448,228.68131534881599,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,500,66066.5447275438,106424.90875842916,149013.6154603578,215606.92754282407,465754.1500123146,14780.85113315473,19373.482415931954,26069.842838440007,36603.17038976187,76245.02042617922,7574.14932501692,18636.633582777995,31562.518185493267,46972.1222530895,103642.68309841644,151025.41672366962,29752.815557562437,18692.277880983715,12175.38424313185,8340.294429161273,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,500,66066.54472754382,106424.90875842917,149013.6154603578,215606.927542824,465754.1500123145,2051.3445336840023,2654.975016239809,3520.6021460098627,4963.1991789829035,10548.945142482622,1476.774614698925,3897.269160658106,6465.088359505093,9495.31638534183,21015.685661395662,16219.176289220111,2035.427526326332,1138.435759262381,716.6671785778708,487.47794526212135,0,0,0,0,0,0,0,0,0,0
NCR,EQ,1000,83304.77441565189,129722.7800949244,180967.13210294934,260829.680708048,581064.7892494723,16558.60693554363,23212.18318027122,32615.6262891405,44026.00850776415,97370.28825580256,12212.962038756763,25858.142633102776,38847.22384569007,56386.63242037019,128230.12261510394,76539.4912293663,17239.621762286515,14876.970522006231,6413.66765074084,3022.534547316476,0,0,0,0,0,0,0,0,0,0
NCR,PF,1000,83304.77441565189,129722.78009492437,180967.13210294937,260829.68070804793,581064.7892494722,3088.378048305961,4393.206478148151,5983.802960635465,8106.572958023045,17500.39142407704,3355.169187773634,7250.341545507121,10600.606828654838,15381.873150477351,34962.454048651365,10064.400585777028,1370.01981938729,1148.0537698123042,513.3462954575781,269.1429837390194,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,1000,66066.5447275438,106424.90875842916,149013.6154603578,215606.92754282407,465754.1500123146,17616.481520638143,23045.147527884747,31373.01327644967,43163.77575080543,91052.60269234047,7982.707100461366,18677.97230599757,31830.14860541821,47767.59500262707,105470.17698451085,202586.9947850873,49122.82373729362,30916.070672462945,19607.48794215122,13402.272893066975,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,1000,66066.5447275438,106424.90875842918,149013.61546035777,215606.927542824,465754.1500123145,2504.6349888982922,3301.249990045516,4392.146585524364,6019.482464488887,12656.349052952275,1795.1631891937268,4730.079203251697,7862.504120732436,11523.382767772522,25487.308084011096,20072.82507509007,2640.6600248615528,1429.1601505887402,853.0702833452804,564.1008004368016,0,0,0,0,0,0,0,0,0,0
